GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-course,com.example.demo.controllers,OrderController,41,0,4,0,11,0,5,0,3,0
auth-course,com.example.demo.controllers,UserController,89,0,6,0,17,0,8,0,5,0
auth-course,com.example.demo.controllers,ItemController,30,0,4,0,6,0,6,0,4,0
auth-course,com.example.demo.controllers,CartController,105,0,8,0,23,0,9,0,5,0
auth-course,com.example.demo.security,WebSecurity,108,0,0,0,21,0,4,0,4,0
auth-course,com.example.demo.security,UserDetailsServiceImpl,74,0,2,0,14,0,5,0,4,0
auth-course,com.example.demo.security,SecurityConstants,3,0,0,0,1,0,1,0,1,0
auth-course,com.example.demo.security,JWTAuthorizationFilter,68,0,8,0,21,0,8,0,4,0
auth-course,com.example.demo.security,JWTAuthenticationFilter,100,0,0,0,23,0,5,0,5,0
auth-course,com.example.demo.utils,Error,89,0,14,0,4,0,15,0,8,0
auth-course,com.example.demo.model.requests,CreateUserRequest,169,0,30,0,5,0,26,0,11,0
auth-course,com.example.demo.model.requests,LoginRequest,126,0,22,0,4,0,20,0,9,0
auth-course,com.example.demo.model.requests,ModifyCartRequest,24,0,0,0,10,0,7,0,7,0
auth-course,com.example.demo.config,SecurityConfig,5,0,0,0,2,0,2,0,2,0
auth-course,com.example.demo,SareetaApplication,8,0,0,0,3,0,2,0,2,0
auth-course,com.example.demo.model.persistence,EcommerceUser,38,0,0,0,16,0,11,0,11,0
auth-course,com.example.demo.model.persistence,Item,87,0,14,0,30,0,18,0,11,0
auth-course,com.example.demo.model.persistence,UserOrder,53,0,0,0,18,0,10,0,10,0
auth-course,com.example.demo.model.persistence,Cart,91,0,8,0,27,0,15,0,11,0
